,zone,pole,lat,lng
531,Uptown,1902-05-01 00:00:00,32.725284,-117.160346
532,Uptown,1904-05-01 00:00:00,32.725382,-117.160347
533,Uptown,1906-05-01 00:00:00,32.725499,-117.160347
534,Uptown,1908-05-01 00:00:00,32.725596,-117.160348
535,Uptown,1910-05-01 00:00:00,32.725713,-117.160349
536,Uptown,1918-05-01 00:00:00,32.725796,-117.160521
537,Uptown,1920-05-01 00:00:00,32.725796,-117.160521
538,Uptown,5-1900W,32.725511,-117.160308
539,Uptown,5-1902,32.725284,-117.160346
540,Uptown,5-1904,32.725382,-117.160347
541,Uptown,5-1906,32.725499,-117.160347
542,Uptown,5-1908,32.725596,-117.160348
543,Uptown,5-1910,32.725713,-117.160349
544,Uptown,5-1918,32.725796,-117.160521
545,Uptown,5-1920,32.725796,-117.160521
546,Downtown,2-1014,32.716327,-117.162596
547,Downtown,2-1016,32.71637,-117.162933
548,Downtown,2-1018,32.716393,-117.162453
549,Downtown,2-1300E,32.719369,-117.162878
550,Downtown,2-1303,32.718951,-117.162852
551,Downtown,2-1305,32.719029,-117.162853
552,Downtown,2-1307,32.719088,-117.162853
553,Downtown,2-1309,32.719166,-117.162854
554,Downtown,2-1311,32.719224,-117.162854
555,Downtown,2-1313,32.714712,-117.15411
556,Downtown,2-1315,32.71938,-117.162856
557,Downtown,2-1316,32.718962,-117.161863
558,Downtown,2-1317,32.719516,-117.162857
559,Downtown,2-1318,32.719527,-117.162985
560,Downtown,2-1320,32.719628,-117.162973
561,Downtown,2-1322,32.719662,-117.163034
562,Downtown,2-1323,32.719789,-117.162859
563,Downtown,2-1400E,32.720393,-117.162849
564,Downtown,2-1401,32.720009,-117.16286
565,Downtown,2-1407,32.720084,-117.16286
566,Downtown,2-1409,32.720141,-117.16286
567,Downtown,2-1410,32.720216,-117.163043
568,Downtown,2-1412,32.720292,-117.163043
569,Downtown,2-1414,32.720349,-117.163043
570,Downtown,2-1415,32.720425,-117.162862
571,Downtown,2-1416,32.7205,-117.163044
572,Downtown,2-1417,32.720558,-117.162862
573,Downtown,2-1419,32.720615,-117.162862
574,Downtown,2-1421,32.72069,-117.162863
575,Downtown,2-1423,32.720747,-117.162863
576,Downtown,2-1521,32.72129,-117.162866
577,Downtown,2-1523,32.721617,-117.162869
578,Uptown,2-1706,32.723173,-117.163065
579,Uptown,2-1708,32.723357,-117.163066
580,Uptown,2-1710,32.723521,-117.163068
581,Uptown,2-1712,32.723684,-117.163069
582,Uptown,2-1714,32.723868,-117.16307
583,Uptown,2-1800,32.724307,-117.163074
584,Uptown,2-1818,32.724498,-117.163076
585,Uptown,2-1820,32.724689,-117.163078
