"zone","area","sub_area","pole","config_id","config_name","date_inventory","lat","lng","sapid"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2318","49382","Sunday Mode","2021-01-04","32.729925","-117.164000","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","1-2318","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.729925","-117.164000","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","2309-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.729446","-117.163815","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","2312-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.729579","-117.163998","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","2314-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.729695","-117.163999","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","2316-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.729810","-117.164000","SS-000021"
"Uptown","Bankers Hill","2300 FIRST AVE","2318-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.729925","-117.164000","SS-000021"
"Downtown","Marina","300 FIRST AVE","1-305","49382","Sunday Mode","2021-01-04","32.709398","-117.163786","SS-000036"
"Downtown","Marina","300 FIRST AVE","1-305","13442","2 Hour Max $1.25 HR 10am-8pm Mon-Sat (Mobile Pay) (NFC)","2018-11-11","32.709398","-117.163786","SS-000036"
"Downtown","Marina","300 FIRST AVE","1-307","49382","Sunday Mode","2021-01-04","32.709169","-117.163659","SS-000036"
"Downtown","Marina","300 FIRST AVE","1-307","13442","2 Hour Max $1.25 HR 10am-8pm Mon-Sat (Mobile Pay) (NFC)","2018-11-11","32.709169","-117.163659","SS-000036"
"Downtown","Marina","300 FIRST AVE","1-309","49382","Sunday Mode","2021-01-04","32.709220","-117.163659","SS-000036"
"Downtown","Marina","300 FIRST AVE","1-309","13442","2 Hour Max $1.25 HR 10am-8pm Mon-Sat (Mobile Pay) (NFC)","2018-11-11","32.709220","-117.163659","SS-000036"
